净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-08-19,2.938,3.013,-2.91,限制大额申购,开放赎回,nan
2020-08-20,2.934,3.009,-0.14,限制大额申购,开放赎回,nan
2020-08-21,2.967,3.042,1.12,限制大额申购,开放赎回,nan
2020-08-24,2.967,3.042,0.0,限制大额申购,开放赎回,nan
2020-08-25,3.006,3.081,1.31,限制大额申购,开放赎回,nan
2020-08-26,3.005,3.08,-0.03,限制大额申购,开放赎回,nan
2020-08-27,3.055,3.13,1.66,限制大额申购,开放赎回,nan
2020-08-28,3.15,3.225,3.11,限制大额申购,开放赎回,nan
2020-08-31,3.137,3.212,-0.41,限制大额申购,开放赎回,nan
2020-09-01,3.135,3.21,-0.06,限制大额申购,开放赎回,nan
2020-09-02,3.122,3.197,-0.41,限制大额申购,开放赎回,nan
2020-09-03,3.11,3.185,-0.38,限制大额申购,开放赎回,nan
2020-09-04,3.046,3.121,-2.06,限制大额申购,开放赎回,nan
2020-09-07,2.923,2.998,-4.04,限制大额申购,开放赎回,nan
2020-09-08,2.919,2.994,-0.14,限制大额申购,开放赎回,nan
2020-09-09,2.8,2.875,-4.08,限制大额申购,开放赎回,nan
2020-09-10,2.805,2.88,0.18,限制大额申购,开放赎回,nan
2020-09-11,2.849,2.924,1.57,限制大额申购,开放赎回,nan
2020-09-14,2.814,2.889,-1.23,限制大额申购,开放赎回,nan
2020-09-15,2.852,2.927,1.35,限制大额申购,开放赎回,nan
2020-09-16,2.789,2.864,-2.21,限制大额申购,开放赎回,nan
2020-09-17,2.746,2.821,-1.54,限制大额申购,开放赎回,nan
2020-09-18,2.779,2.854,1.2,限制大额申购,开放赎回,nan
2020-09-21,2.756,2.831,-0.83,限制大额申购,开放赎回,nan
2020-09-22,2.768,2.843,0.44,限制大额申购,开放赎回,nan
2020-09-23,2.876,2.951,3.9,限制大额申购,开放赎回,nan
2020-09-24,2.84,2.915,-1.25,限制大额申购,开放赎回,nan
2020-09-25,2.865,2.94,0.88,限制大额申购,开放赎回,nan
2020-09-28,2.818,2.893,-1.64,限制大额申购,开放赎回,nan
2020-09-29,2.843,2.918,0.89,限制大额申购,开放赎回,nan
2020-09-30,2.893,2.968,1.76,限制大额申购,开放赎回,nan
2020-10-09,2.973,3.048,2.77,限制大额申购,开放赎回,nan
2020-10-12,3.081,3.156,3.63,限制大额申购,开放赎回,nan
2020-10-13,3.128,3.203,1.53,限制大额申购,开放赎回,nan
2020-10-14,3.127,3.202,-0.03,限制大额申购,开放赎回,nan
2020-10-15,3.096,3.171,-0.99,限制大额申购,开放赎回,nan
2020-10-16,3.106,3.181,0.32,限制大额申购,开放赎回,nan
2020-10-19,3.031,3.106,-2.41,限制大额申购,开放赎回,nan
2020-10-20,3.069,3.144,1.25,限制大额申购,开放赎回,nan
2020-10-21,3.066,3.141,-0.1,限制大额申购,开放赎回,nan
2020-10-22,3.026,3.101,-1.3,限制大额申购,开放赎回,nan
2020-10-23,2.912,2.987,-3.77,限制大额申购,开放赎回,nan
2020-10-26,2.937,3.012,0.86,限制大额申购,开放赎回,nan
2020-10-27,3.04,3.115,3.51,限制大额申购,开放赎回,nan
2020-10-28,3.06,3.135,0.66,限制大额申购,开放赎回,nan
2020-10-29,3.124,3.199,2.09,限制大额申购,开放赎回,nan
2020-10-30,3.072,3.147,-1.66,限制大额申购,开放赎回,nan
